;,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
CoreZn TU,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7,Core_ZN Thermal Zone,1117.897,-99996,-99996,,,,,,
Perim1 TU,BaseVAVNoReheatTrmlUnit-2,Uncontrolled,BaseAirSys7-2,Perimeter_ZN_1 Thermal Zone,1112.572,-99996,-99996,,,,,,
Perim2 TU,BaseVAVNoReheatTrmlUnit-3,Uncontrolled,BaseAirSys7-3,Perimeter_ZN_2 Thermal Zone,642.539,-99996,-99996,,,,,,
Perim3 TU,BaseVAVNoReheatTrmlUnit-4,Uncontrolled,BaseAirSys7-4,Perimeter_ZN_3 Thermal Zone,917.12,-99996,-99996,,,,,,
Perim4 TU,BaseVAVNoReheatTrmlUnit-5,Uncontrolled,BaseAirSys7-5,Perimeter_ZN_4 Thermal Zone,728.225,-99996,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
CoreZnCoolingCoil,BaseSys7 CoilClg,DirectExpansion,BaseAirSys7,n/a,31527.42,32892.892,-99996,13,10.845,1,,,
Perim1ZnCoolingCoil,BaseSys7 CoilClg-2,DirectExpansion,BaseAirSys7-2,n/a,31470.652,32833.665,-99996,13,10.845,1,,,
Perim2ZnCoolingCoil,BaseSys7 CoilClg-3,DirectExpansion,BaseAirSys7-3,n/a,18730.639,19541.875,-99996,13,10.845,1,,,
Perim3ZnCoolingCoil,BaseSys7 CoilClg-4,DirectExpansion,BaseAirSys7-4,n/a,32062.284,33450.921,-99996,13,10.845,1,,,
Perim4ZnCoolingCoil,BaseSys7 CoilClg-5,DirectExpansion,BaseAirSys7-5,n/a,22907.344,23899.475,-99996,13,10.845,1,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
CoreZnHeatingCoil,BaseSys7 CoilHtg,Furnace,BaseAirSys7,n/a,29417.975,29417.975,0,0.78,0.8,,,,
Perim1ZnHeatingCoil,BaseSys7 CoilHtg-2,Furnace,BaseAirSys7-2,n/a,26395.225,26395.225,0,0.78,0.8,,,,
Perim2ZnHeatingCoil,BaseSys7 CoilHtg-3,Furnace,BaseAirSys7-3,n/a,15347.05,15347.05,0,0.78,0.8,,,,
Perim3ZnHeatingCoil,BaseSys7 CoilHtg-4,Furnace,BaseAirSys7-4,n/a,23417.25,23417.25,0,0.78,0.8,,,,
Perim4ZnHeatingCoil,BaseSys7 CoilHtg-5,Furnace,BaseAirSys7-5,n/a,16641.563,16641.563,0,0.78,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
CoreZnSupplyFan,BaseSys7 Fan,ConstantVolume,BaseAirSys7,n/a,1117.897,-99996,0.65,BrakeHorsePower,3.877,1.051,1.5,InAirStream,0.865
Perim1ZnSupplyFan,BaseSys7 Fan-2,ConstantVolume,BaseAirSys7-2,n/a,1112.572,-99996,0.65,BrakeHorsePower,3.877,1.046,1.5,InAirStream,0.865
Perim2ZnSupplyFan,BaseSys7 Fan-3,ConstantVolume,BaseAirSys7-3,n/a,642.539,-99996,0.65,BrakeHorsePower,3.877,0.604,0.75,InAirStream,0.855
Perim3ZnSupplyFan,BaseSys7 Fan-4,ConstantVolume,BaseAirSys7-4,n/a,917.12,-99996,0.65,BrakeHorsePower,3.877,0.862,1,InAirStream,0.855
Perim4ZnSupplyFan,BaseSys7 Fan-5,ConstantVolume,BaseAirSys7-5,n/a,728.225,-99996,0.65,BrakeHorsePower,3.877,0.685,0.75,InAirStream,0.855
ENDTABLE,,,,,,,,,,,,,
TABLE OffSmlCECStd22020012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
CoreZnOAControl,BaseSys7 OACtrl,NoEconomizer,BaseAirSys7,UNDEFINED,,,,,,,,,
Perime1OAControl,BaseSys7 OACtrl-2,NoEconomizer,BaseAirSys7-2,UNDEFINED,,,,,,,,,
Perim2OAControl,BaseSys7 OACtrl-3,NoEconomizer,BaseAirSys7-3,UNDEFINED,,,,,,,,,
Perim3 OAControl,BaseSys7 OACtrl-4,NoEconomizer,BaseAirSys7-4,UNDEFINED,,,,,,,,,
Perim4 OAControl,BaseSys7 OACtrl-5,NoEconomizer,BaseAirSys7-5,UNDEFINED,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
