;,,,,,,,,,,,,,
TABLE RstntSmlCECStd22060012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Dining TerminalUnit,BaseVAVNoReheatTrmlUnit,Uncontrolled,BaseAirSys7or3a,Dining Thermal Zone,1356.052,-99996,-99996,,,,,,
Kitchen TerminalUnit,BaseUnctrl TrmlUnit,VAVNoReheatBox,BaseAirSys13,Kitchen Thermal Zone,2000,2000,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd22060012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Dining CoilClg,BaseSys7or3a CoilClg,DirectExpansion,BaseAirSys7or3a,n/a,55536.818,57942.151,-99996,13,10.845,1,,,
Kitchen CoilClg,BaseSys13 CoilClg,DirectExpansion,BaseAirSys13,n/a,82156.057,85714.286,-99996,-99996,11,2,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd22060012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Dining CoilHtg,BaseSys7or3a CoilHtg,Furnace,BaseAirSys7or3a,n/a,51090.737,51090.737,0,0.78,0.8,,,,
Kitchen CoilHtg,BaseSys13 CoilHtg,Furnace,BaseAirSys13,n/a,86645.225,86645.225,0,0.78,0.8,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd22060012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Dining Fan,BaseSys7or3a Fan,ConstantVolume,BaseAirSys7or3a,n/a,1356.052,-99996,0.65,BrakeHorsePower,3.838,1.262,1.5,InAirStream,0.865
Kitchen Fan,BaseSys13 Fan,VariableSpeedDrive,BaseAirSys13,n/a,2000,2000,0.65,BrakeHorsePower,3.971,1.925,2,InAirStream,0.865
ENDTABLE,,,,,,,,,,,,,
TABLE RstntSmlCECStd22060012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
DiningOAControl,BaseSys7or3a OACtrl,FixedDryBulb,BaseAirSys7or3a,Integrated,,,,,,,,,
Kitchen OAControl,BaseSys13 OACtrl,FixedDryBulb,BaseAirSys13,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
