;,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012TrmlUnit,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,,
Back_Office_TU,BaseVAVNoReheatTrmlUnit,VAVNoReheatBox,BaseAirSys7or3b,Back_Office Zone,3569.008,1784.504,-99996,,,,,,
Back_Shelving/Refrig_TU,BaseVAVNoReheatTrmlUnit-2,VAVNoReheatBox,BaseAirSys7or3b-2,Back_Shelving/Refrig Zone,12671.378,6335.689,-99996,,,,,,
Back_Storage_TU,BaseVAVNoReheatTrmlUnit-3,VAVNoReheatBox,BaseAirSys7or3b-3,Back_Storage Zone,8956.652,4478.326,-99996,,,,,,
Main_Entry_TU,BaseVAVNoReheatTrmlUnit-4,VAVNoReheatBox,BaseAirSys7or3b-4,Main_Entry Zone,9383.949,4691.975,-99996,,,,,,
Registers/Aisle_TU,BaseVAVNoReheatTrmlUnit-5,VAVNoReheatBox,BaseAirSys7or3b-5,Registers/Aisle Zone,16205.7,8102.85,-99996,,,,,,
Side_Entry_1_TU,BaseVAVNoReheatTrmlUnit-6,VAVNoReheatBox,BaseAirSys7or3b-6,Side_Entry_1 Zone,9310.744,4655.372,-99996,,,,,,
Side_Entry_2_TU,BaseVAVNoReheatTrmlUnit-7,VAVNoReheatBox,BaseAirSys7or3b-7,Side_Entry_2 Zone,9634.749,4817.375,-99996,,,,,,
Side_Shelving_East_TU,BaseVAVNoReheatTrmlUnit-8,VAVNoReheatBox,BaseAirSys7or3b-8,Side_Shelving_East Zone,16018.672,8009.336,-99996,,,,,,
Side_Shelving_West_TU,BaseVAVNoReheatTrmlUnit-9,VAVNoReheatBox,BaseAirSys7or3b-9,Side_Shelving_West Zone,15918.362,7959.181,-99996,,,,,,
Side_Storage_1_TU,BaseVAVNoReheatTrmlUnit-10,VAVNoReheatBox,BaseAirSys7or3b-10,Side_Storage_1 Zone,9025.692,4512.846,-99996,,,,,,
Side_Storage_2_TU,BaseVAVNoReheatTrmlUnit-11,VAVNoReheatBox,BaseAirSys7or3b-11,Side_Storage_2 Zone,4461.945,2230.972,-99996,,,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012CoilClg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Back_Office_CoilClg,BaseSys7or3b CoilClg,DirectExpansion,BaseAirSys7or3b,n/a,101182.576,105564.855,-99996,-99996,11,2,,,
Back_Shelving/Refrig_CoilClg,BaseSys7or3b CoilClg-2,DirectExpansion,BaseAirSys7or3b-2,n/a,355997.237,371415.693,-99996,-99996,9.5,2,,,
Back_Storage_CoilClg,BaseSys7or3b CoilClg-3,DirectExpansion,BaseAirSys7or3b-3,n/a,253115.662,264078.254,-99996,-99996,9.5,2,,,
Main_Entry_CoilClg,BaseSys7or3b CoilClg-4,DirectExpansion,BaseAirSys7or3b-4,n/a,286385.751,298789.292,-99996,-99996,9.5,2,,,
Registers/Aisle_CoilClg,BaseSys7or3b CoilClg-5,DirectExpansion,BaseAirSys7or3b-5,n/a,455292.583,475011.58,-99996,-99996,9.5,2,,,
Side_Entry_1_CoilClg,BaseSys7or3b CoilClg-6,DirectExpansion,BaseAirSys7or3b-6,n/a,267750.783,279347.231,-99996,-99996,9.5,2,,,
Side_Entry_2_CoilClg,BaseSys7or3b CoilClg-7,DirectExpansion,BaseAirSys7or3b-7,n/a,274351.168,286233.483,-99996,-99996,9.5,2,,,
